customer_id,State,account_length,location_code,Phone Number,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,service quality,priority customer level,total data usage,network coverage,total messages usage,Churn
423052,KS,128,415, 382-4657, no, yes,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,9,2,1,173,266, False.
423053,OH,107,415, 371-7191, no, yes,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,6,2,19,271,361, False.
423054,NJ,137,415, 358-1921, no, no,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,1,53,805,623, False.
423055,OH,84,408, 375-9999, yes, no,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,6,3,17,896,686, False.
423056,OK,75,415, 330-6626, yes, no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,6,3,62,944,140, False.
423057,AL,118,510, 391-8027, yes, no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,1,55,933,148, False.
423058,MA,121,510, 355-9993, no, yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,7,3,6,881,693, False.
423059,MO,147,415, 329-9001, yes, no,0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,3,53,249,391, False.
423060,LA,117,408, 335-4719, no, no,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,6,2,17,999,426, False.
423061,WV,141,415, 330-8173, yes, yes,37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,1,29,532,470, False.
423062,IN,65,415, 329-6603, no, no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,2,1,5,100,325, True.
423063,RI,74,415, 344-9403, no, no,0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,0,1,8,110,520, False.
423064,IA,168,408, 363-1107, no, no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,7,1,60,436,532, False.
